,Source,Source duplicate client#,Client #,SQL_ClientIdSubId,Client Group,SQL_Client Group,Client Name,SQL_Client Name,Address,SQL_Address,City,SQL_City,State,SQL_State,ZipCode,SQL_ZipCode,Year End,SQL_Year End,Eng Ltr Fees if Inlcluded,SQL_Eng Ltr Fees if Inlcluded,Tax Eng Ltr Type,SQL_Tax Eng Ltr Type,States/Localities,SQL_States/Localities,Changes in States/Localities,SQL_Changes in States/Localities,AA Eng Ltr Type,SQL_AA Eng Ltr Type,AA Financial Framework (FF),SQL_AA Financial Framework (FF),AA Departure from FF?,SQL_AA Departure from FF?,AA Not Independent?,SQL_AA Not Independent?,Eng Ltr Contact,SQL_Eng Ltr Contact,Eng Ltr Contact Email,SQL_Eng Ltr Contact Email,OS Client,SQL_OS Client,CAL Contact,SQL_CAL Contact,CAL Contact Email,SQL_CAL Contact Email,CAL Contact 2,SQL_CAL Contact 2,CAL Contact Email 2,SQL_CAL Contact Email 2,Depreciation Schedule Sent w/ CAL?,SQL_Depreciation Schedule Sent w/ CAL?,"Other Comments, Changes, etc.","SQL_Other Comments, Changes, etc.",Primary,SQL_Primary,Status Client Group,Status Client Name,Status Address,Status City,Status State,Status ZipCode,Status Year End,Status Eng Ltr Fees if Inlcluded,Status Tax Eng Ltr Type,Status States/Localities,Status Changes in States/Localities,Status AA Eng Ltr Type,Status AA Financial Framework (FF),Status AA Departure from FF?,Status AA Not Independent?,Status Eng Ltr Contact,Status Eng Ltr Contact Email,Status OS Client,Status CAL Contact,Status CAL Contact Email,Status CAL Contact 2,Status CAL Contact Email 2,Status Depreciation Schedule Sent w/ CAL?,"Status Other Comments, Changes, etc.",Status Primary
15,Bender Lacy.xlsm,,2340,2340.TAX,ECC,ECC,"Evansville Country Club, Inc.",EVANSVILLE COUNTRY CLUB INC,3810 Stringtown Road,3810 STRINGTOWN ROAD,Evansville,EVANSVILLE,Indiana,IN,47711,47711,12,12,,,990 & 990-T,990 & 990-T,Indiana,Indiana,,,Review,Review,GAAP,GAAP,,,,F,Christina Stinson,Brandon Broshears,christina@evansvillecountryclub.com,controller@evansvillecountryclub.com,,F,Christina Stinson,Brandon Broshears,christina@evansvillecountryclub.com,controller@evansvillecountryclub.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,,,,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,CAL Contact,CAL Contact Email,,,,,
16,Bender Lacy.xlsm,,7982,7982.TAX,GEORGE BUILDING,GEORGE BUILDING,"George Building Innovations, LLC",GEORGE BUILDING INNOVATIONS LLC,10410 Winery Road,10410 WINERY RD,Wadesville,WADESVILLE,Indiana,IN,47638,47638,12,12,,,1120S,1120S,"Illinois, Indiana, and Kentucky","Illinois, Indiana, and Kentucky",,,,None,,,,,,,Nick George,Nick George,nick.george@georgebuilding.com,nick.george@georgebuilding.com,X,T,Sarah Wittenbraker,Sarah Wittenbraker,swittenbraker@hsccpa.com,swittenbraker@hsccpa.com,,,,,,,,,"Bender, Lacy","Conapinski, Kyle",,,Address,,State,,,,,,,AA Eng Ltr Type,,,,,,OS Client,,,,,,,Primary
17,Bender Lacy.xlsm,,6453,6453.TAX,GIBCO,GIBCO,"LRM Holdings, Inc.",LRM HOLDINGS INC,7922 Jenner Road,5130 VOGEL RD,Chandler,EVANSVILLE,Indiana,IN,47610,47715,12,12,,,1120S,1120S,"Indiana, Illinois, and Missouri","Indiana, Illinois, and Missouri",,,,None,,,,,,,Lauren Courtney,Rita Meeks,lcourtney@gibcomotorexpress.com,ritameeks@gmail.com,,,Lauren Courtney,Rita Meeks,lcourtney@gibcomotorexpress.com,ritameeks@gmail.com,,,,,Tax,,,,"Bender, Lacy","Bender, Lacy",,,Address,City,State,ZipCode,,,,,,AA Eng Ltr Type,,,,Eng Ltr Contact,Eng Ltr Contact Email,,CAL Contact,CAL Contact Email,,,Depreciation Schedule Sent w/ CAL?,,
18,Bender Lacy.xlsm,,9467,9467.TAX,GOLF GIVES BACK,GOLF GIVES BACK,"Golf Gives Back, Inc.",GOLF GIVES BACK INC,One Main Street,"ONE MAIN STREET, NO. 100 ONP-007F",Evansville,EVANSVILLE,Indiana,IN,47708,47708,12,12,,,990,990,No states,No states,,,,None,,,,,,,Mike Woods,Mike Woods,mike.woods@oldnational.com,mike.woods@oldnational.com,,,Mike Woods,Mike Woods,mike.woods@oldnational.com,mike.woods@oldnational.com,,,,,,,,,"Bender, Lacy","Theising, Susan",,,Address,,State,,,,,,,AA Eng Ltr Type,,,,,,,,,,,,,Primary
19,Bender Lacy.xlsm,,7344,7344.TAX,GTSG,GTSG,"Global Technology Solutions Group, Inc.","GLOBAL TECHNOLOGY SOLUTIONS GROUP, INC",3317 Leamington Lane,3317 LEAMINGTON LN,Charlotte,CHARLOTTE,North Carolina,NC,28226,28226,12,12,,,1120S,1120S,"Arizona, California, Indiana, New York, New York City, and North Carolina","Arizona, California, Indiana, New York, New York City, and North",,,,None,,,,,,,Jeff Albright,Jeff Albright,jeff@gtsg.com,jeff@gtsg.com,,,No CAL,No CAL,,,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,States/Localities,,AA Eng Ltr Type,,,,,,,,,,,,,
20,Bender Lacy.xlsm,,5240,5240.TAX,HERITAGE PETROLEUM,HERITAGE PETROLEUM,"Cornerstone Commercial Properties, LLC",CORNERSTONE COMMERCIAL PROPERTIES LLC,P.O. Box 6850,PO BOX 6850,Evansville,EVANSVILLE,Indiana,IN,47719,47719-0850,12,12,,,1065,1065,Indiana and Illinois,Indiana and Illinois,,,,None,,,,,,F,Rachel Casey,Miriam Rogers,rcasey@heritageoil.com,mrogers@heritageoil.com,,F,Rachel Casey,Miriam Rogers,rcasey@heritageoil.com,mrogers@heritageoil.com,,,,,Tax,,,,"Bender, Lacy","Bender, Lacy",,,,,State,ZipCode,,,,,,AA Eng Ltr Type,,,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,CAL Contact,CAL Contact Email,,,Depreciation Schedule Sent w/ CAL?,,
21,Bender Lacy.xlsm,,3218,3218.TAX,HERITAGE PETROLEUM,HERITAGE PETROLEUM,Aaron Enterprises,"AARON ENTERPRISES, INC.",5101 Kleitz Road,5101 KLEITZ ROAD,Evansville,EVANSVILLE,Indiana,IN,47720,47720,12,12,,,1120S,1120S,Indiana and Illinois,Indiana and Illinois,,,,None,,,,,,,Rachel Casey,Miriam Rogers,rcasey@heritageoil.com,mrogers@heritageoil.com,,,Rachel Casey,Miriam Rogers,rcasey@heritageoil.com,mrogers@heritageoil.com,,,,,Tax,,,,"Bender, Lacy","Bender, Lacy",,Client Name,,,State,,,,,,,AA Eng Ltr Type,,,,Eng Ltr Contact,Eng Ltr Contact Email,,CAL Contact,CAL Contact Email,,,Depreciation Schedule Sent w/ CAL?,,
22,Bender Lacy.xlsm,,3236,3236.TAX,HERITAGE PETROLEUM,HERITAGE PETROLEUM,"Gabes Oil, Inc.",GABES OIL INC,P.O. Box 6850,P.O. BOX 6850,Evansville,EVANSVILLE,Indiana,IN,47719,47719,12,12,,,1120S,1120S,"Alabama, Arkansas, Iowa, Indiana, Illinois, Kansas, Kentucky, Louisiana, Missouri, Mississippi, Ohio, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia, Wisconsin, and various Kentucky local returns","Alabama, Arkansas, Iowa, Indiana, Illinois, Kansas, Kentucky, Louisiana, Missouri, Mississippi, Ohio, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia, Wisconsin, and various Kentucky local returns",,,,None,,,,,,F,Rachel Casey,Miriam Rogers,rcasey@heritageoil.com,mrogers@heritageoil.com,,F,No CAL,No CAL,,,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,,,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,,,,,,,
23,Bender Lacy.xlsm,,9829,9829.TAX,JOE MORGAN,JOE MORGAN,"Triad Demolition & Dismantling, LLC",TRIAD DEMOLITION & DISMANTLING LLC,P.O. Box 6034,PO BOX 6034,Evansville,EVANSVILLE,Indiana,IN,47719,47719,,12,,,1120S,1120S,Indiana,Indiana,,,,,,,,,,F,Don Macleod,Amy Lillich,dmacleod@fligeltaub.com,alillich@fligeltaub.com,,F,Amy Lillich,Amy Lillich,alillich@fligeltaub.com,alillich@fligeltaub.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,Year End,,,,,,,,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,,,,,,,
24,Bender Lacy.xlsm,,8490,8490.TAX,KASSENBROCK,KASSENBROCK,"RMK Assets, LLC",RMK ASSETS LLC,12321 Darmstadt Road,12321 DARMSTADT RD,Evansville,EVANSVILLE,Indiana,IN,47725,47725,12,12,,,1065,1065,"Indiana, Illinois, Missouri, and Tennessee","Indiana, Illinois, Missouri, and Tennessee",,,,None,,,,,,F,Robert Kassenbrock,Robert Kassenbrock,rmkassenbrock@gmail.com,rmkassenbrock@gmail.com,,F,Robert Kassenbrock,Robert Kassenbrock,rmkassenbrock@gmail.com,rmkassenbrock@gmail.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,
25,Bender Lacy.xlsm,,10039,10039.TAX,KEI,KEI,"VIP Properties, LLC",VIP PROPERTIES LLC,10 South Eleventh Avenue,14 SOUTH ELEVENTH AVENUE,Evansville,EVANSVILLE,Indiana,IN,47712,47712,12,12,,,1065,1065,Indiana,Indiana,,,,<No selection>,,<No selection>,,,,F,Susan Parsons,Susan Parsons,sep@kochllc.com,sep@kochllc.com,,F,No CAL,No CAL,,,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
26,Bender Lacy.xlsm,,4567,4567.TAX,KEI,KEI,"Koch Enterprises, Inc.",KOCH ENTERPRISES INC - TAX,14 South 11th Avenue,14 SOUTH ELEVENTH AVENUE,Evansville,EVANSVILLE,Indiana,IN,47712,47712,12,12,,,1120,1120,state income tax returns.  A listing of returns to be prepared for each subsidiary is attached to this letter.,state income tax returns.  A listing of returns to be prepared f,,,,None,,,,,,F,Susan Parsons,Susan Parsons,sep@kochllc.com,sep@kochllc.com,,F,Lacy sends CAL,Lacy sends CAL,,,,,,,,,,,"Bender, Lacy","Bender, Lacy",,Client Name,Address,,State,,,,,States/Localities,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,
27,Bender Lacy.xlsm,,7312,7312.TAX,KLIPSCH,KLIPSCH,"Bellmoore Commons, LLC",BELLMOORE COMMONS LLC,900 East Columbia Street,900 EAST COLUMBIA STREET,Evansville,EVANSVILLE,Indiana,IN,47711,47711,12,12,,,1065,1065,Indiana,Indiana,,,,None,,,,,,F,Ben Klipsch,Ben Klipsch,Ben.Klipsch@HomeInstead.com,ben.klipsch@homeinstead.com,,F,No CAL,No CAL,,,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,
28,Bender Lacy.xlsm,,10122,10122.TAX,LAE CORPORATION,L A E CORPORATION,L A E Corporation,LAE CORPORATION,1508 Larkinwood Lane,1508 LARKINWOOD LANE,Evansville,EVANSVILLE,Indiana,IN,47715,47715,12,12,,,1120S,1120S,Indiana,Indiana,,,,<No selection>,,<No selection>,,,,F,Frances Leggett,Frances Leggett,francesleggett19@gmail.com,francesleggett19@gmail.com,,F,Frances Leggett,Frances Leggett,francesleggett19@gmail.com,francesleggett19@gmail.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
29,Bender Lacy.xlsm,,421,,MALEY,,"AWK Holdings, Inc.",,900 East Columbia Street,,Evansville,,Indiana,,47711,,12,,,,1120S,,Indiana,,,,Review Consolidated,,GAAP,,,,,,Ben Klipsch,,Ben.Klipsch@HomeInstead.com,,,,Kris Gresham,,kris@maleyandwertz.com,,,,,,,,,,"Bender, Lacy",,Client Group,Client Name,Address,City,State,ZipCode,Year End,Eng Ltr Fees if Inlcluded,Tax Eng Ltr Type,States/Localities,Changes in States/Localities,AA Eng Ltr Type,AA Financial Framework (FF),AA Departure from FF?,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,CAL Contact,CAL Contact Email,CAL Contact 2,CAL Contact Email 2,Depreciation Schedule Sent w/ CAL?,"Other Comments, Changes, etc.",Primary
30,Bender Lacy.xlsm,,7192,7192.TAX,MALEY,MALEY,"Klipsch Senior Care, LLC",KLIPSCH SENIOR CARE LLC,635 Metro Avenue,635 METRO AVE,Evansville,EVANSVILLE,Indiana,IN,47715,47715,12,12,,,1120S,1120S,Indiana,Indiana,,,,None,,,,,,,Ben Klipsch,Ben Klipsch,Ben.Klipsch@HomeInstead.com,Ben.Klipsch@HomeInstead.com,X,T,Becky Brinkman,Becky Brinkman,bbrinkman@hsccpa.com,bbrinkman@hsccpa.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,,,AA Eng Ltr Type,,,,,,OS Client,,,,,,,
31,Bender Lacy.xlsm,,9508,9508.TAX,MCCUTCHANVILLE VOLUNTEER FIRE DEPT,MCCUTCHANVILLE VOLUNTEER FIRE DEPT,"McCutchanville Volunteer Fire Department, Inc.",MCCUTCHANVILLE VOLUNTEER FIRE DEPARTMENT INC,9219 Petersburg Road,9219 PETERSBURG ROAD,Evansville,EVANSVILLE,Indiana,IN,47725,47725,12,12,,,990,990,Indiana,Indiana,,,,None,,,,,,,Aaron Will,Aaron Will,aaron.will@mccutchanvillefire.org,aaron.will@mccutchanvillefire.org,X,T,Jason Warford,Jason Warford,jwarford@hsccpa.com,jwarford@hsccpa.com,,,,,,,,,"Bender, Lacy","Hutchens, Pamela A",,,,,State,,,,,,,AA Eng Ltr Type,,,,,,OS Client,,,,,,,Primary
32,Bender Lacy.xlsm,,8835,8835.TAX,MILEHAM,MILEHAM,"Old Orchard, LLC",OLD ORCHARD LLC,4354 Ford Road,4354 N FORD RD,Mt. Vernon,MT VERNON,Indiana,IN,47620,47620,12,12,,,1065,1065,Indiana,Indiana,,,,None,,,,,,F,Rick Mileham,Rick Mileham,rickmileham1@gmail.com,rickmileham1@gmail.com,,F,Rick Mileham,Rick Mileham,rickmileham1@gmail.com,rickmileham1@gmail.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,
